%------------------------------------------------------------------------------
% [system] : GpsTools
% [module] : receiver definitions
% [format] : - 1 line = 1 record
%            - % ...  = comments
%            - fields separated by comma(,)
% [version]: $Revision: 16 $ $Date: 2008-12-12 15:49:30 +0900 (é‡‘, 12 12 2008) $
% [history]: 06/07/06  0.1  separated as csv text
%            08/12/01  0.2  update IGS station list (30 Nov 2008)
%------------------------------------------------------------------------------

% id, group, name, comment

KGNI,  IGS,  KOGANEI,
KHAJ,  IGS,  Khabarovsk,
KHAR,  IGS,  Kharkiv,
KIR0,  IGS,  Kiruna,
KIRU,  IGS,  Kiruna,
KIT3,  IGS,  Kitab,
KOKB,  IGS,  Kokee Park, Waimea,,
KOSG,  IGS,  Kootwijk,
KOUC,  IGS,  Koumac,
KOUR,  IGS,  Kourou,
KSMV,  IGS,  KASHIMA,
KSTU,  IGS,  Krasnoyarsk,
KUNM,  IGS,  Kunming,
KUUJ,  IGS,  KUUJJUARAPIK,
KWJ1,  IGS,  Kwajalein Atoll,
LAE1,  IGS,  Lae,
LAMA,  IGS,  Olsztyn,
LBCH,  IGS,  Long Beach,
LEEP,  IGS,  Hollywood,
LEIJ,  IGS,  Leipzig,
LHAS,  IGS,  LHASA,
LHAZ,  IGS,  Lhasa,
LONG,  IGS,  Irwindale,
LPGS,  IGS,  La Plata,
LROC,  IGS,  La Rochelle,
MAC1,  IGS,  MacQuarie Island, Sub-Antarctic,
MAD2,  IGS,  Robledo,
MADR,  IGS,  Robledo,
MAG0,  IGS,  Magadan,
MAL2,  IGS,  Malindi,
MALD,  IGS,  Male Airport,
MANA,  IGS,  Managua,
MAR6,  IGS,  Maartsbo,
MARS,  IGS,  Marseille,
MAS1,  IGS,  Maspalomas,
MAT1,  IGS,  MATERA,
MATE,  IGS,  Matera,
MAUI,  IGS,  Haleakala, Maui,
MAW1,  IGS,  Mawson,
MBAR,  IGS,  Mbarara,
MCIL,  IGS,  Ogasawara,
MCM4,  IGS,  Ross Island,
MDO1,  IGS,  Fort Davis,
MDVJ,  IGS,  Mendeleevo,
MDVO,  IGS,  Mendeleevo, Moscow Region,
MEDI,  IGS,  Medicina,
METS,  IGS,  Kirkkonummi,
METZ,  IGS,  Kirkkonummi (40 km west from Helsinki),
MIKL,  IGS,  Mykolaiv,
MIZU,  IGS,  Mizusawa,
MKEA,  IGS,  Mauna Kea,
MOBJ,  IGS,  Obninsk,
MOBN,  IGS,  Obninsk,
MOBS,  IGS,  Melbourne,
MONP,  IGS,  Laguna Mountains,
MORP,  IGS,  Morpeth,
MQZG,  IGS,  Christchurch,
MSKU,  IGS,  Franceville,
MTBG,  IGS,  Mattersburg,
MTKA,  IGS,  Mitaka,
NAIN,  IGS,  Nain,
NAMA,  IGS,  Namas,
NANO,  IGS,  Nanoose Bay,
NICO,  IGS,  Nicosia,
NIST,  IGS,  Boulder,
NISU,  IGS,  Boulder,
NIUM,  IGS,  Alofi,
NKLG,  IGS,  Libreville,
NLIB,  IGS,  North Liberty,
NNOR,  IGS,  New Norcia,
NOT1,  IGS,  Noto,
NOVM,  IGS,  Novosibirsk,
NPLD,  IGS,  Teddington,
NRC1,  IGS,  OTTAWA,
NRIL,  IGS,  Norilsk,
NRL1,  IGS,  Washington,
NRMD,  IGS,  NOUMEA,
NSSP,  IGS,  Yerevan,
NTUS,  IGS,  Singapore,
NVSK,  IGS,  Novosibirsk,
NYA1,  IGS,  Ny-Alesund,
NYAL,  IGS,  Ny-Alesund,
OBE2,  IGS,  Oberpfaffenhofen,
OHI2,  IGS,  O'Higgins,
OHI3,  IGS,  O'Higgins,
ONSA,  IGS,  Onsala,
OPMT,  IGS,  Paris,
ORID,  IGS,  Ohrid,
OSJE,  IGS,  Osijek,
OSN1,  IGS,  Osan,
OSN2,  IGS,  Osan,
OUS2,  IGS,  Dunedin,
PADO,  IGS,  Padova,
PARC,  IGS,  Punta Arenas,
PARK,  IGS,  Parkes,
PDEL,  IGS,  Ponta Delgada,
PENC,  IGS,  Penc,
PERT,  IGS,  Perth,
PETP,  IGS,  Petropavlovsk-Kamchatka,
PETS,  IGS,  Petropavlovsk-Kamchatka,
PICL,  IGS,  PICKLE LAKE,
PIE1,  IGS,  Pie Town,
PIMO,  IGS,  Quezon City,
PIN1,  IGS,  Pinyon Flat,
POL2,  IGS,  Bishkek,
POLV,  IGS,  Poltava,
POTS,  IGS,  Potsdam,
POVE,  IGS,  Porto Velho,
PRDS,  IGS,  CALGARY,
PRE1,  IGS,  Pretoria,
PRE2,  IGS,  Pretoria,
PTBB,  IGS,  Braunschweig,
QAQ1,  IGS,  Qaqortoq / Julianehaab,
QIKI,  IGS,  Qikiqtarjuaq (Baffin Island),
QUI1,  IGS,  Quito,
QUI2,  IGS,  Quito,
QUIN,  IGS,  Quincy,
RABT,  IGS,  Rabat,
RAMO,  IGS,  Mitzpe Ramon,
RBAY,  IGS,  Richardsbay,
RCMN,  IGS,  NAIROBI,
RECF,  IGS,  Recife,
RESO,  IGS,  Resolute (Cornwallis Island),
REUN,  IGS,  Le Tampon,
REYK,  IGS,  Reykjavik,
RIGA,  IGS,  Riga,
RIO2,  IGS,  Rio Grande,
RIOP,  IGS,  Riobamba,
ROAP,  IGS,  San Fernando,
ROCH,  IGS,  Pinemeadow,
ROCK,  IGS,  Simi Valley,
SALU,  IGS,  Sao Luis,
SANT,  IGS,  Santiago,
SASK,  IGS,  Saskatoon,
SASS,  IGS,  Sassnitz Island of Ruegen,
SAVO,  IGS,  Salvador,
SCH2,  IGS,  SCHEFFERVILLE,
SCIP,  IGS,  San Clemente Island,
SCOR,  IGS,  Scoresbysund/Ittoqqoormiit,
SCUB,  IGS,  Santiago de Cuba,
SELE,  IGS,  Almaty,
SEY1,  IGS,  La Misere,
SFDM,  IGS,  Piru,
SFER,  IGS,  San Fernando,
SHAO,  IGS,  Sheshan,
SHE2,  IGS,  Shediac,
SIMO,  IGS,  Simonstown,
SIO3,  IGS,  La Jolla,
SLOR,  IGS,  San Lorenzo,
SNI1,  IGS,  San Nicolas Island,
SOFI,  IGS,  Sofia,
SOLA,  IGS,  Solar Village,
SPK1,  IGS,  Saddle Peak,
SPT0,  IGS,  Boras,
SSIA,  IGS,  San Salvador,
STJO,  IGS,  ST. JOHN'S,
STK2,  IGS,  Shintotsukawa,
STR1,  IGS,  Canberra,
STR2,  IGS,  Canberra,
SULP,  IGS,  Lviv,
SUNM,  IGS,  BRISBANE,
SUTH,  IGS,  Sutherland,
SUTM,  IGS,  Sutherland,
SUVA,  IGS,  Suva,
SUWN,  IGS,  Suwon-shi,
SVTL,  IGS,  Svetloe,
SYDN,  IGS,  Sydney,
SYOG,  IGS,  East Ongle Island,
TABL,  IGS,  Wrightwood,
TAH1,  IGS,  Papeete,
TAH2,  IGS,  Papeete,
TCMS,  IGS,  Hsinchu,
TEHN,  IGS,  TEHRAN,
TGCV,  IGS,  Palmeira,
THTI,  IGS,  Papeete,
THU2,  IGS,  Thule Airbase,
THU3,  IGS,  Thule Airbase,
TID1,  IGS,  (Near) Canberra,
TID2,  IGS,  Tidbinbilla,
TIDB,  IGS,  Tidbinbilla,
TITZ,  IGS,  Titz,
TIXI,  IGS,  Tixi,
TIXJ,  IGS,  Tixi,
TLSE,  IGS,  Toulouse,
TNML,  IGS,  Hsinchu,
TORP,  IGS,  Torrance,
TOW2,  IGS,  Cape Ferguson,
TRAB,  IGS,  Trabzon,
TRAK,  IGS,  Irvine,
TRO1,  IGS,  Tromsoe,
TROM,  IGS,  Tromsoe,
